source_node,source_type,relationship_type,target_node,target_type,weight,note,source_qid
Pneumocystis jiroveci pneumonia,Disease,treated_with,atovaquone,Treatment,3,,43162.2
Trimethoprim-Sulfamethoxazole Combination,Treatment,contraindicated_if,allergy to sulfonamide,Finding,3,,43162.2
dapsone,Treatment,contraindicated_if,Deficiency of glucose-6-phosphate dehydrogenase,Finding,3,,43162.2
Pneumocystis jiroveci pneumonia,Disease,discriminates_from,"pneumonia, bacterial",Disease,2,,43162.2
Pneumocystis jiroveci pneumonia,Disease,discriminates_from,tuberculosis,Disease,2,,43162.2
43162.2,Question,diagnostic_confusion,Trimethoprim-Sulfamethoxazole Combination,Treatment,3,,43162.2
43162.2,Question,missed_key_clue,Deficiency of glucose-6-phosphate dehydrogenase,Finding,3,,43162.2
43162.2,Question,missed_key_clue,allergy to sulfonamide,Finding,3,,43162.2
44091.1,Question,tests,heart failure with reduced ejection fraction,Disease,3,,44091.1
44091.1,Question,uses_entry_point,dyspnea,EntryPoint,3,,44091.1
dyspnea,EntryPoint,activates_differential_for,heart failure with reduced ejection fraction,Disease,3,,44091.1
hypertensive disease,Disease,risk_factor_for,heart failure with reduced ejection fraction,Disease,2,,44091.1
Elevated brain natriuretic peptide (BNP),Finding,suggests,heart failure with reduced ejection fraction,Disease,3,,44091.1
jugular venous engorgement,Finding,suggests,heart failure with reduced ejection fraction,Disease,2,,44091.1
edema of lower extremity,Finding,suggests,heart failure with reduced ejection fraction,Disease,2,,44091.1
rales,Finding,suggests,heart failure with reduced ejection fraction,Disease,2,,44091.1
heart failure with reduced ejection fraction,Disease,confirmed_by,echocardiography,Test,3,,44091.1
heart failure with reduced ejection fraction,Disease,requires_first,loop diuretics,Treatment,3,,44091.1
heart failure with reduced ejection fraction,Disease,next_step_is,cardiac rehabilitation,AlgorithmStep,3,,44091.1
heart failure with reduced ejection fraction,Disease,treated_with,guideline directed medical therapy,Treatment,3,,44091.1
heart failure with reduced ejection fraction,Disease,discriminates_from,pneumonia,Disease,2,,44091.1
heart failure with reduced ejection fraction,Disease,discriminates_from,chronic obstructive airway disease,Disease,2,,44091.1
high sensitivity troponin elevation,Finding,mimics,myocardial infarction,Disease,3,,44091.1
44091.1,Question,did_not_know_next_best_step,cardiac rehabilitation,Treatment,3,,44091.1
44091.1,Question,diagnostic_confusion,aspirin,Treatment,2,,44091.1
44091.1,Question,diagnostic_confusion,myocardial infarction,Disease,2,,44091.1
44091.1,Question,diagnostic_confusion,high sensitivity troponin elevation,Finding,2,,44091.1
21850.6,Question,tests,hypomagnesemia,Disease,3,,21850.6
21850.6,Question,uses_entry_point,has tingling sensation,EntryPoint,3,,21850.6
has tingling sensation,EntryPoint,activates_differential_for,hypomagnesemia,Disease,3,,21850.6
alcohol consumption,Finding,risk_factor_for,hypomagnesemia,Disease,3,,21850.6
diarrhea,Finding,risk_factor_for,hypomagnesemia,Disease,3,,21850.6
chvostek sign positive,Finding,suggests,hypocalcemia,Disease,3,,21850.6
trousseau sign positive,Finding,suggests,hypocalcemia,Disease,3,,21850.6
hypokalemia persistent,Finding,suggests,hypomagnesemia,Disease,3,,21850.6
hypomagnesemia,Disease,confirmed_by,serum magnesium measurement,Test,3,,21850.6
hypomagnesemia,Disease,requires_first,magnesium supplement therapy,Treatment,3,,21850.6
hypomagnesemia,Disease,treated_with,magnesium supplement therapy,Treatment,3,,21850.6
hypomagnesemia,Disease,discriminates_from,hypocalcemia,Disease,2,,21850.6
hypomagnesemia,Disease,discriminates_from,hypokalemia,Disease,2,,21850.6
21850.6,Question,did_not_recognize_pattern,hypomagnesemia,Disease,3,,21850.6
21850.6,Question,diagnostic_confusion,sodium bicarbonate,Treatment,2,,21850.6
21850.6,Question,missed_key_clue,alcohol consumption,Finding,2,,21850.6
21850.6,Question,missed_key_clue,diarrhea,Finding,2,,21850.6
22451.6,Question,tests,invasive aspergillosis,Disease,3,,22451.6
fever,EntryPoint,uses_entry_point,invasive aspergillosis,Disease,3,,22451.6
invasive aspergillosis,Disease,treated_with,amphotericin B injection,Treatment,3,,22451.6
invasive aspergillosis,Disease,treated_with,surgical debridement of wound,Treatment,3,,22451.6
septated branching hyphae,Finding,suggests,invasive aspergillosis,Disease,3,,22451.6
nasal mucosa necrotic,Finding,suggests,invasive aspergillosis,Disease,3,,22451.6
immunocompromised host,RiskFactor,risk_factor_for,invasive aspergillosis,Disease,3,,22451.6
invasive aspergillosis,Disease,requires_first,amphotericin B injection,Treatment,3,,22451.6
invasive aspergillosis,Disease,next_step_is,amphotericin B injection,Treatment,3,,22451.6
biopsy of nose,Test,confirmed_by,invasive aspergillosis,Disease,3,,22451.6
septated branching hyphae,Finding,discriminates_from,mucormycosis,Disease,3,,22451.6
invasive aspergillosis,Disease,mimics,bacterial sinusitis,Disease,2,,22451.6
22451.6,Question,low_confidence_correct,invasive aspergillosis,Disease,3,,22451.6
43693.1,Question,tests,guttate psoriasis,Disease,3,,43693.1
rash,EntryPoint,uses_entry_point,guttate psoriasis,Disease,3,,43693.1
rash,EntryPoint,activates_differential_for,guttate psoriasis,Disease,3,,43693.1
guttate psoriasis,Disease,treated_with,topical corticosteroid therapy,Treatment,3,,43693.1
guttate psoriasis,Disease,treated_with,phototherapy,Treatment,3,,43693.1
recent streptococcal infection,RiskFactor,risk_factor_for,guttate psoriasis,Disease,3,,43693.1
rash scaly,Finding,suggests,guttate psoriasis,Disease,3,,43693.1
guttate psoriasis,Disease,requires_first,topical corticosteroid therapy,Treatment,3,,43693.1
guttate psoriasis,Disease,next_step_is,topical corticosteroid therapy,Treatment,3,,43693.1
clinical diagnosis,Test,confirmed_by,guttate psoriasis,Disease,3,,43693.1
guttate psoriasis,Disease,discriminates_from,pityriasis rosea,Disease,3,,43693.1
guttate psoriasis,Disease,discriminates_from,nummular eczema,Disease,3,,43693.1
43693.1,Question,low_confidence_correct,guttate psoriasis,Disease,3,,43693.1
43938.1,Question,tests,open depressed fracture of skull,Disease,3,,43938.1
craniocerebral trauma,EntryPoint,uses_entry_point,open depressed fracture of skull,Disease,3,,43938.1
open depressed fracture of skull,Disease,treated_with,intravenous antibiotic therapy,Treatment,3,,43938.1
open depressed fracture of skull,Disease,treated_with,neurosurgical procedures,Treatment,3,,43938.1
step-off displacement deformity of skull,Finding,suggests,open depressed fracture of skull,Disease,3,,43938.1
scalp laceration,Finding,suggests,open depressed fracture of skull,Disease,3,,43938.1
low glasgow coma scale,Finding,suggests,traumatic brain injury,Disease,3,,43938.1
open depressed fracture of skull,Disease,requires_first,intravenous antibiotic therapy,AlgorithmStep,3,,43938.1
open depressed fracture of skull,Disease,next_step_is,intravenous antibiotic therapy,Treatment,3,,43938.1
CAT scan of head,Test,tests,open depressed fracture of skull,Disease,3,,43938.1
open depressed fracture of skull,Disease,discriminates_from,closed fracture of skull,Disease,3,,43938.1
open depressed fracture of skull,Disease,discriminates_from,"Hematoma, Epidural, Cranial",Disease,3,,43938.1
43938.1,Question,did_not_know_next_best_step,intravenous antibiotic therapy,AlgorithmStep,3,,43938.1
46964.1,Question,uses_entry_point,migraine disorders,EntryPoint,3,,46964.1
refractory migraine,Disease,treated_with,erenumab,Treatment,3,,46964.1
topiramate,Treatment,contraindicated_if,nephrolithiasis,Finding,3,,46964.1
46964.1,Question,missed_key_clue,nephrolithiasis,Finding,3,,46964.1
24629.3,Question,uses_entry_point,fever,EntryPoint,3,,24629.3
,Question,tests,infective endocarditis,Disease,3,,24629.3
fever,EntryPoint,uses_entry_point,infective endocarditis,Disease,3,,24629.3
infective endocarditis,Disease,treated_with,intravenous antibiotic therapy,Treatment,3,,24629.3
splinter hemorrhage,Finding,suggests,infective endocarditis,Disease,3,,24629.3
mitral valve stenosis,Finding,suggests,infective endocarditis,Disease,3,,24629.3
infective endocarditis,Disease,requires_first,blood culture,Test,3,,24629.3
infective endocarditis,Disease,next_step_is,echocardiography,Test,3,,24629.3
echocardiography,Test,confirmed_by,infective endocarditis,Disease,3,,24629.3
infective endocarditis,Disease,discriminates_from,tuberculosis,Disease,2,,24629.3
24629.3,Question,low_confidence_correct,infective endocarditis,Disease,3,,24629.3
21455.14,Question,tests,reactive arthritis,Disease,3,,21455.14
21455.14,Question,uses_entry_point,reactive arthritis,Disease,3,,21455.14
blurred vision,EntryPoint,activates_differential_for,reactive arthritis,Disease,3,,21455.14
chlamydia infections,RiskFactor,risk_factor_for,reactive arthritis,Disease,3,,21455.14
HLA-B*27 positive,RiskFactor,risk_factor_for,reactive arthritis,Disease,3,,21455.14
conjunctivitis,Finding,suggests,reactive arthritis,Disease,3,,21455.14
oligoarticular arthritis,Finding,suggests,reactive arthritis,Disease,3,,21455.14
Circinate balanitis co-occurrent with reactive arthritis triad,Finding,suggests,chlamydia infections,Disease,3,,21455.14
chlamydia infections,Disease,confirmed_by,chlamydia trachomatis nucleic acid amplification test,Test,3,,21455.14
chlamydia infections,Disease,next_step_is,chlamydia trachomatis nucleic acid amplification test,Test,3,,21455.14
reactive arthritis,Disease,requires_first,"Anti-Inflammatory Agents, Non-Steroidal",Treatment,3,,21455.14
chlamydia infections,Disease,treated_with,doxycycline,Treatment,3,,21455.14
21455.14,Question,changed_right_to_wrong,VDRL test,Test,3,,21455.14
21455.14,Question,diagnostic_confusion,syphilis,Disease,3,,21455.14
21455.14,Question,missed_key_clue,conjunctivitis,Finding,3,,21455.14
21455.14,Question,missed_key_clue,oligoarticular arthritis,Finding,3,,21455.14
43695.1,Question,tests,focal glomerulosclerosis,Disease,3,,43695.1
,Question,uses_entry_point,edema of lower extremity,EntryPoint,3,,43695.1
HIV infections,RiskFactor,risk_factor_for,focal glomerulosclerosis,Disease,3,,43695.1
nephrotic syndrome,Disease,can_cause,hydrothorax,Finding,2,,43695.1
nephrotic syndrome,Disease,can_cause,edema of lower extremity,Finding,3,,43695.1
edema of lower extremity,Finding,suggests,focal glomerulosclerosis,Disease,2,,43695.1
hydrothorax,Finding,suggests,focal glomerulosclerosis,Disease,2,,43695.1
focal glomerulosclerosis,Disease,confirmed_by,kidney biopsy,Test,3,,43695.1
focal glomerulosclerosis,Disease,next_step_is,kidney biopsy,Test,3,,43695.1
focal glomerulosclerosis,Disease,requires_first,Angiotensin-Converting Enzyme Inhibitors,Treatment,2,,43695.1
HIV infections,Disease,treated_with,"Antiretroviral Therapy, Highly Active",Treatment,2,,43695.1
HIV infections,Disease,can_cause,AIDS-Associated Nephropathy,Disease,3,,43695.1
AIDS-Associated Nephropathy,Disease,can_cause,focal glomerulosclerosis,Disease,3,,43695.1
AIDS-Associated Nephropathy,Disease,suggests,focal glomerulosclerosis,Disease,3,,43695.1
focal glomerulosclerosis,Disease,discriminates_from,decompensated cardiac failure,Disease,3,,43695.1
AIDS-Associated Nephropathy,Disease,discriminates_from,decompensated cardiac failure,Disease,3,,43695.1
43695.1,Question,diagnostic_confusion,decompensated cardiac failure,Disease,3,,43695.1
43695.1,Question,missed_key_clue,AIDS-Associated Nephropathy,Disease,3,,43695.1
43695.1,Question,anchored_too_early,decompensated cardiac failure,Disease,3,,43695.1
21459.9,Question,tests,NSAID-Induced Nephropathy,Disease,3,,21459.9
rheumatoid arthritis,Disease,treated_with,"Anti-Inflammatory Agents, Non-Steroidal",Treatment,3,,21459.9
"Anti-Inflammatory Agents, Non-Steroidal",RiskFactor,risk_factor_for,NSAID-Induced Nephropathy,Disease,3,,21459.9
periorbital edema,Finding,suggests,NSAID-Induced Nephropathy,Disease,3,,21459.9
edema of lower extremity,Finding,suggests,NSAID-Induced Nephropathy,Disease,3,,21459.9
nephrotic range proteinuria,Finding,suggests,NSAID-Induced Nephropathy,Disease,3,,21459.9
NSAID-Induced Nephropathy,Disease,requires_first,discontinue NSAID,Treatment,3,,21459.9
NSAID-Induced Nephropathy,Disease,next_step_is,discontinue NSAID,Treatment,3,,21459.9
NSAID-Induced Nephropathy,Disease,confirmed_by,kidney biopsy,Test,2,,21459.9
NSAID-Induced Nephropathy,Disease,treated_with,steroid use,Treatment,2,,21459.9
NSAID-Induced Nephropathy,Disease,discriminates_from,methotrexate poisoning,Disease,3,,21459.9
NSAID-Induced Nephropathy,Disease,discriminates_from,amyloidosis,Disease,2,,21459.9
21459.9,Question,diagnostic_confusion,methotrexate poisoning,Disease,3,,21459.9
21459.9,Question,missed_key_clue,nephrotic range proteinuria,Finding,3,,21459.9
43807.2,Question,tests,"shock, cardiogenic",Disease,3,,43807.2
43807.2,Question,uses_entry_point,dizziness,EntryPoint,3,,43807.2
heart failure with reduced ejection fraction,Disease,risk_factor_for,"shock, cardiogenic",Disease,3,,43807.2
hypotension,Finding,suggests,"shock, cardiogenic",Disease,3,,43807.2
oliguria,Finding,suggests,"shock, cardiogenic",Disease,3,,43807.2
cold extremity,Finding,suggests,"shock, cardiogenic",Disease,3,,43807.2
livedo reticularis,Finding,suggests,"shock, cardiogenic",Disease,3,,43807.2
serum creatinine raised,Finding,suggests,"shock, cardiogenic",Disease,2,,43807.2
"shock, cardiogenic",Disease,requires_first,Inotropic support (drug),Treatment,3,,43807.2
"shock, cardiogenic",Disease,next_step_is,inotropic support (drug),Treatment,3,,43807.2
"shock, cardiogenic",Disease,confirmed_by,echocardiography,Test,2,,43807.2
"shock, cardiogenic",Disease,discriminates_from,hypovolemic shock,Disease,3,,43807.2
Administration of intravenous fluids,Treatment,contraindicated_if,"shock, cardiogenic",Disease,3,,43807.2
43807.2,Question,low_confidence_correct,"shock, cardiogenic",Disease,3,,43807.2
43238.1,Question,tests,Alzheimer's disease,Disease,3,,43238.1
43238.1,Question,uses_entry_point,memory impairment,EntryPoint,3,,43238.1
Alzheimer's disease,Disease,treated_with,Acetylcholinesterase Inhibitors,Treatment,3,,43238.1
memory impairment,Finding,suggests,Alzheimer's disease,Disease,3,,43238.1
Atrophy of cortex of temporal lobe,Finding,suggests,Alzheimer's disease,Disease,3,,43238.1
difficulty remembering names,Finding,suggests,Alzheimer's disease,Disease,2,,43238.1
Acetylcholinesterase Inhibitors,Treatment,can_cause,diarrhea,Complication,3,,43238.1
Acetylcholinesterase Inhibitors,Treatment,discriminates_from,tachycardia,Complication,2,,43238.1
43238.1,Question,did_not_know_next_best_step,Acetylcholinesterase Inhibitors,Treatment,3,,43238.1
24408.6,Question,tests,paroxysmal hemicrania,Disease,3,,24408.6
24408.6,Question,uses_entry_point,retro-orbital pain,EntryPoint,3,,24408.6
paroxysmal hemicrania,Disease,treated_with,indomethacin,Treatment,3,,24408.6
retro-orbital pain,Finding,suggests,paroxysmal hemicrania,Disease,3,,24408.6
lacrimation,Finding,suggests,paroxysmal hemicrania,Disease,3,,24408.6
ptosis,Finding,suggests,paroxysmal hemicrania,Disease,3,,24408.6
rhinorrhea,Finding,suggests,paroxysmal hemicrania,Disease,3,,24408.6
high frequency,Finding,suggests,paroxysmal hemicrania,Disease,3,,24408.6
short duration,Finding,suggests,paroxysmal hemicrania,Disease,3,,24408.6
paroxysmal hemicrania,Disease,requires_first,indomethacin,Treatment,3,,24408.6
paroxysmal hemicrania,Disease,next_step_is,indomethacin,Treatment,3,,24408.6
paroxysmal hemicrania,Disease,confirmed_by,indomethacin,Treatment,3,,24408.6
paroxysmal hemicrania,Disease,discriminates_from,cluster headache,Disease,3,,24408.6
cluster headache,Disease,treated_with,High-flow nasal cannula oxygen therapy,Treatment,2,,24408.6
cluster headache,Disease,treated_with,verapamil,Treatment,2,,24408.6
24408.6,Question,did_not_recognize_pattern,paroxysmal hemicrania,Disease,3,,24408.6
43374.2,Question,tests,alcohol withdrawal syndrome,Disease,3,,43374.2
43374.2,Question,uses_entry_point,alcohol detoxification,EntryPoint,3,,43374.2
alcohol use disorder,RiskFactor,risk_factor_for,alcohol withdrawal syndrome,Disease,3,,43374.2
alcohol use disorder,RiskFactor,risk_factor_for,liver cirrhosis,Finding,3,,43374.2
tremor,Finding,suggests,alcohol withdrawal syndrome,Disease,3,,43374.2
tachycardia,Finding,suggests,alcohol withdrawal syndrome,Disease,3,,43374.2
increased sweating,Finding,suggests,alcohol withdrawal syndrome,Disease,3,,43374.2
ascites,Finding,suggests,liver cirrhosis,Disease,3,,43374.2
pruritis,Finding,suggests,liver cirrhosis,Disease,3,,43374.2
alcohol withdrawal syndrome,Disease,requires_first,lorazepam,Treatment,3,,43374.2
alcohol withdrawal syndrome,Disease,next_step_is,lorazepam,Treatment,3,,43374.2
alcohol withdrawal syndrome,Disease,treated_with,phase II metabolism,Treatment,3,,43374.2
chlordiazepoxide,Treatment,contraindicated_if,liver cirrhosis,Disease,3,,43374.2
lorazepam,Treatment,discriminates_from,chlordiazepoxide,Treatment,3,,43374.2
alcohol withdrawal syndrome,Disease,discriminates_from,serotonin syndrome,Disease,2,,43374.2
43374.2,Question,missed_key_clue,liver cirrhosis,Disease,3,,43374.2
43374.2,Question,changed_right_to_wrong,lorazepam,Treatment,3,,43374.2
24572.5,Question,tests,"Glomerulonephritis, Membranoproliferative",Disease,3,,24572.5
24572.5,Question,uses_entry_point,check up,EntryPoint,3,,24572.5
Hepatitis C,Disease,risk_factor_for,"Glomerulonephritis, Membranoproliferative",Disease,3,,24572.5
proteinuria,Finding,risk_factor_for,"Glomerulonephritis, Membranoproliferative",Disease,3,,24572.5
hematuria,Finding,risk_factor_for,"Glomerulonephritis, Membranoproliferative",Disease,3,,24572.5
edema,Finding,risk_factor_for,"Glomerulonephritis, Membranoproliferative",Disease,2,,24572.5
increased blood pressure,Finding,risk_factor_for,"Glomerulonephritis, Membranoproliferative",Disease,2,,24572.5
"Glomerulonephritis, Membranoproliferative",Disease,next_step_is,complement assay,AlgorithmStep,3,,24572.5
"Glomerulonephritis, Membranoproliferative",Disease,confirmed_by,kidney biopsy,Test,3,,24572.5
Hepatitis C,Disease,treated_with,antiviral therapy,Treatment,2,,24572.5
"Glomerulonephritis, Membranoproliferative",Disease,discriminates_from,idiopathic membranous glomerulonephritis,Disease,3,,24572.5
24572.5,Question,diagnostic_confusion,"glomerulonephritis, Membranoproliferative",Disease,3,,24572.5
24572.5,Question,did_not_know_next_best_step,complement assay,Test,3,,24572.5
24134.11,Question,tests,"Polycystic Kidney, Autosomal Dominant",Disease,3,,24134.11
24134.11,Question,uses_entry_point,hematuria,EntryPoint,3,,24134.11
hematuria,EntryPoint,activates_differential_for,kidney diseases,Disease,3,,24134.11
"Polycystic Kidney, Autosomal Dominant",Disease,can_cause,increased blood pressure,Finding,3,,24134.11
ultrasound of kidney: multiple cysts of both kidneys,Finding,suggests,"Polycystic Kidney, Autosomal Dominant",Disease,3,,24134.11
flank pain,Finding,suggests,"Polycystic Kidney, Autosomal Dominant",Disease,3,,24134.11
hematuria,Finding,suggests,"Polycystic Kidney, Autosomal Dominant",Disease,3,,24134.11
"Polycystic Kidney, Autosomal Dominant",Disease,treated_with,Angiotensin-Converting Enzyme Inhibitors,Treatment,3,,24134.11
"Polycystic Kidney, Autosomal Dominant",Disease,requires_first,Angiotensin-Converting Enzyme Inhibitors,Treatment,3,,24134.11
"Polycystic Kidney, Autosomal Dominant",Disease,next_step_is,Angiotensin-Converting Enzyme Inhibitors,Treatment,3,,24134.11
"Polycystic Kidney, Autosomal Dominant",Disease,did_not_know_next_best_step,Angiotensin-Converting Enzyme Inhibitors,Treatment,3,,24134.11
40200.2,Question,tests,Poisoning caused by acetaminophen,Disease,3,,40200.2
40200.2,Question,uses_entry_point,liver failure,EntryPoint,3,,40200.2
Poisoning caused by acetaminophen,Disease,can_cause,liver failure,Finding,3,,40200.2
transaminases increased,Finding,suggests,poisoning caused by acetaminophen,,3,,40200.2
INR increased,Finding,suggests,liver failure,Finding,3,,40200.2
hypoglycemia,Finding,suggests,liver failure,Finding,2,,40200.2
hepatomegaly,Finding,presents_with,poisoning caused by acetaminophen,Disease,2,,40200.2
poisoning caused by acetaminophen,Disease,treated_with,acetylcysteine,Treatment,3,,40200.2
poisoning caused by acetaminophen,Disease,requires_first,acetylcysteine,Treatment,3,,40200.2
poisoning caused by acetaminophen,Disease,next_step_is,acetylcysteine,Treatment,3,,40200.2